Basecase,,,,,,,Epoch,Total Loss,Image Loss,Context Loss,Text Loss
Epoch,Total Loss,Image Loss,Context Loss,Text Loss,,Basecase,5,4.3590,0.2409,0.0034,4.1175
1,4.3586,0.2409,0.0034,4.1171,,ResNet16,5,4.3626,0.2415,0.0031,4.1205
2,4.3592,0.241,0.0034,4.1176,,ResNet32,5,4.3700,0.2418,0.0032,4.1276
3,4.3591,0.2409,0.0033,4.1175,,ResNet64,5,4.3625,0.2417,0.0031,4.1202
4,4.3587,0.2408,0.0033,4.1172,,ResNet128,5,4.3608,0.2415,0.0032,4.1187
5,4.359,0.2409,0.0034,4.1175,,ResNet128,10,4.3602,0.2415,0.0031,4.1181
,,,,,,,,,,,
ResNet16,,,,,,,,,,,
Epoch,Total Loss,Image Loss,Context Loss,Text Loss,,,,,,,
1,4.389117,0.242529,0.00397,4.145793,,,,,,,
2,4.364968,0.241865,0.003382,4.122427,,,,,,,
3,4.363476,0.241687,0.003304,4.121128,,,,,,,
4,4.361808,0.241585,0.003224,4.119579,,,,,,,
5,4.362608,0.241473,0.003125,4.12051,,,,,,,
,,,,,,,,,,,
ResNet32,,,,,,,,,,,
Epoch,Total Loss,Image Loss,Context Loss,Text Loss,,,,,,,
1,4.392335,0.242756,0.003922,4.148795,,,,,,,
2,4.371409,0.24219,0.003376,4.128544,,,,,,,
3,4.369413,0.242004,0.003278,4.126753,,,,,,,
4,4.370675,0.242014,0.003218,4.128018,,,,,,,
5,4.370045,0.24182,0.0032,4.127586,,,,,,,
,,,,,,,,,,,
ResNet64,,,,,,,,,,,
Epoch,Total Loss,Image Loss,Context Loss,Text Loss,,,,,,,
1,4.382293,0.242326,0.00373,4.13922,,,,,,,
2,4.362847,0.241942,0.003299,4.120245,,,,,,,
3,4.360979,0.241871,0.003295,4.118448,,,,,,,
4,4.362039,0.241801,0.003336,4.119571,,,,,,,
5,4.362518,0.24165,0.003109,4.120246,,,,,,,
,,,,,,,,,,,
ResNet128,,,,,,,,,,,
Epoch,Total Loss,Image Loss,Context Loss,Text Loss,,,,,,,
1,4.375159,0.24231,0.003726,4.132104,,,,,,,
2,4.361044,0.241838,0.00344,4.118518,,,,,,,
3,4.361589,0.241673,0.003234,4.119269,,,,,,,
4,4.360289,0.241621,0.00325,4.118017,,,,,,,
5,4.360843,0.241536,0.003181,4.118671,,,,,,,
6,4.36041,0.241455,0.003186,4.118318,,,,,,,
7,4.359978,0.241446,0.003114,4.117909,,,,,,,
8,4.361501,0.241536,0.003185,4.119329,,,,,,,
9,4.359624,0.241401,0.003166,4.11759,,,,,,,
10,4.360223,0.241501,0.003109,4.118101,,,,,,,
